Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
4,191603179;3,607483411;0,899590399;3,281592188;2,159189236;0,22042671;0,752510901;0,819385541;1,327956261;0,083748486;0,114673414;0,098482565;0
1,123277463;0,701088051;0,00551156;4,656012304;2,826987353;23,73573684;0,03629348;0,040427338;4,678366551;0,063766516;0,194671817;0,045123922;0
0,978470768;0,529285249;0,090210015;4,708819678;2,359259374;105,0051265;-0,039006055;0,009433506;7,59743247;-0,73956708;0,411654135;0,019308845;1
1,089285467;0,516273956;0,101880495;7,801463033;3,144252311;7,254458322;0,080625365;0,121146408;3,906652138;0,006194897;0,013374967;0,016887744;0
0,73378478;0,437040203;0,038635065;7,635651773;4,363208014;1,562230786;-0,362797413;0,390284905;4,251076965;-0,73956708;0,345756479;0,128507977;0
2,808107573;1,15142053;0,076710793;2,983624929;1,161415115;15,70845557;0,056581168;0,059849936;3,999384385;0,049057957;0,106428059;0,116739588;0
1,868587752;1,435336609;0,928913927;47,56267897;12,73273249;0,91861489;0,461500336;0,52120934;0,641888414;0,6904215;0,89887703;0,048400932;0
0,867546369;0,830058825;0,11134077;4,791908884;3,743296324;1,022289697;-0,152690961;0,494488995;3,970825218;-0,166037376;-0,142636973;0,046088454;0
1,273732676;1,142798448;0,582880113;6,047224731;3,236106031;3,127987705;0,214904798;0,242248784;3,789696723;1,458185383;1,829230484;0,185497061;0
1,215990202;0,422051322;0,040757629;6,495003996;2,712204794;12,80462343;0,072240183;0,072439635;2,90624198;0,021451071;0,027672923;-0,033775129;1
1,047607099;0,694838415;0,03285559;6,238437795;4,104406823;20,2476563;0,045443658;0,047064014;3,080019464;-0,73956708;0,647769198;0,011580823;1
1,086174578;0,353740396;0,006884391;15,44276836;4,55954495;11,33516767;0,079337686;0,081069024;2,794881771;-0,73956708;0,472322537;0,022577465;0
1,117533448;1,114162573;0,271701472;3,881911291;3,041913243;8,325255283;0,105170291;0,10723567;3,866394606;0,986260814;1,257977592;0,053753784;0
2,279411965;0,976162082;0,72827403;36,06249316;4,577079944;0,55176952;0,557966185;0,644425597;1,785103965;-0,603974582;-0,736906145;-0,220228334;0
1,003434277;0,831090298;0,091618054;3,705193834;2,535920616;35,45510964;0,00342136;0,027430997;6,214950735;0,368680182;0,477327265;-0,012207025;0
1,016252719;0,745217068;0,011669934;8,220106559;5,697316587;37,87027122;0,015374802;0,025726602;2,456812454;0,612453696;0,77560746;0,018210295;0
